ymd,h,m,v
20171101,19,25,450.24
20171101,19,30,480
20171101,19,35,483.84
20171101,19,40,483.84
20171101,19,45,483.84
20171101,19,50,482.88
20171101,19,55,404.16
20171101,20,0,373.44
20171101,20,5,465.6
20171101,20,10,486.72
20171101,20,15,480
20171101,20,20,481.92
20171101,20,25,482.88
20171101,20,30,370.56
20171101,20,35,408
20171101,20,40,485.76
20171101,20,45,480
20171101,20,50,483.84
20171101,20,55,484.8
20171101,21,0,482.88
20171101,21,5,380.16
20171101,21,10,441.6
20171101,21,15,471.36
20171101,21,20,484.8
20171101,21,25,483.84
20171101,21,30,481.92
20171101,21,35,483.84
20171101,21,40,351.36
20171101,21,45,403.2
20171101,21,50,479.04
20171101,21,55,483.84
20171101,22,0,484.8
20171101,22,5,484.8
20171101,22,10,485.76
20171101,22,15,481.92
20171101,22,20,377.28
20171101,22,25,407.04
20171101,22,30,443.52
20171101,22,35,481.92
20171101,22,40,486.72
20171101,22,45,480.96
20171101,22,50,482.88
20171101,22,55,347.52
20171101,23,0,388.8
20171101,23,5,445.44
20171101,23,10,478.08
20171101,23,15,446.4
20171101,23,20,468.48
20171101,23,25,483.84
20171101,23,30,483.84
20171101,23,35,360.96
20171101,23,40,367.68
20171101,23,45,439.68
20171101,23,50,456.96
20171101,23,55,475.2
20171102,0,0,469.44
20171102,0,5,471.36
20171102,0,10,478.08
20171102,0,15,326.4
20171102,0,20,329.28
20171102,0,25,357.12
20171102,0,30,375.36
20171102,0,35,474.24
20171102,0,40,484.8
20171102,0,45,482.88
20171102,0,50,484.8
20171102,0,55,486.72
20171102,1,0,363.84
20171102,1,5,341.76
20171102,1,10,336
20171102,1,15,421.44
20171102,1,20,459.84
20171102,1,25,476.16
20171102,1,30,475.2
20171102,1,35,477.12
20171102,1,40,329.28
20171102,1,45,320.64
20171102,1,50,330.24
20171102,1,55,337.92
20171102,2,0,330.24
20171102,2,5,466.56
20171102,2,10,339.84
20171102,2,15,333.12
20171102,2,20,327.36
20171102,2,25,386.88
20171102,2,30,462.72
20171102,2,35,375.36
20171102,2,40,338.88
20171102,2,45,338.88
20171102,2,50,343.68
20171102,2,55,417.6
20171102,3,0,333.12
20171102,3,5,334.08
20171102,3,10,432
20171102,3,15,469.44
20171102,3,20,477.12
20171102,3,25,486.72
20171102,3,30,488.64
20171102,3,35,386.88
20171102,3,40,337.92
20171102,3,45,312.96
20171102,3,50,348.48
20171102,3,55,448.32
20171102,4,0,475.2
20171102,4,5,480
20171102,4,10,488.64
20171102,4,15,484.8
20171102,4,20,484.8
20171102,4,25,487.68
20171102,4,30,360
20171102,4,35,402.24
20171102,4,40,452.16
20171102,4,45,472.32
20171102,4,50,481.92
20171102,4,55,492.48
20171102,5,0,406.08
20171102,5,5,326.4
20171102,5,10,329.28
20171102,5,15,322.56
20171102,5,20,320.64
20171102,5,25,423.36
20171102,5,30,482.88
20171102,5,35,473.28
20171102,5,40,455.04
20171102,5,45,486.72
20171102,5,50,381.12
20171102,5,55,382.08
20171102,6,0,481.92
20171102,6,5,485.76
20171102,6,10,484.8
20171102,6,15,485.76
20171102,6,20,484.8
20171102,6,25,482.88
20171102,6,30,399.36
20171102,6,35,384.96
20171102,6,40,478.08
20171102,6,45,485.76
20171102,6,50,475.2
20171102,6,55,491.52
20171102,7,0,487.68
20171102,7,5,349.44
20171102,7,10,352.32
20171102,7,15,367.68
20171102,7,20,481.92
20171102,7,25,496.32
20171102,7,30,495.36
20171102,7,35,493.44
20171102,7,40,489.6
20171102,7,45,485.76
20171102,7,50,315.84
20171102,7,55,369.6
20171102,8,0,475.2
20171102,8,5,430.08
20171102,8,10,456
20171102,8,15,488.64
20171102,8,20,488.64
20171102,8,25,488.64
20171102,8,30,485.76
20171102,8,35,430.08
20171102,8,40,351.36
20171102,8,45,351.36
20171102,8,50,432.96
20171102,8,55,491.52
20171102,9,0,484.8
20171102,9,5,486.72
20171102,9,10,445.44
20171102,9,15,316.8
20171102,9,20,363.84
20171102,9,25,490.56
20171102,9,30,459.84
20171102,9,35,484.8
20171102,9,40,480.96
20171102,9,45,477.12
20171102,9,50,485.76
20171102,9,55,489.6
20171102,10,0,355.2
20171102,10,5,336.96
20171102,10,10,448.32
20171102,10,15,493.44
20171102,10,20,493.44
20171102,10,25,487.68
20171102,10,30,484.8
20171102,10,35,374.4
20171102,10,40,317.76
20171102,10,45,423.36
20171102,10,50,448.32
20171102,10,55,436.8
20171102,11,0,483.84
20171102,11,5,482.88
20171102,11,10,485.76
20171102,11,15,489.6
20171102,11,20,358.08
20171102,11,25,355.2
20171102,11,30,485.76
20171102,11,35,493.44
20171102,11,40,495.36
20171102,11,45,498.24
20171102,11,50,487.68
20171102,11,55,474.24
20171102,12,0,349.44
20171102,12,5,331.2
20171102,12,10,433.92
20171102,12,15,470.4
20171102,12,20,432.96
20171102,12,25,451.2
20171102,12,30,479.04
20171102,12,35,483.84
20171102,12,40,484.8
20171102,12,45,417.6
20171102,12,50,326.4
20171102,12,55,415.68
20171102,13,0,476.16
20171102,13,5,483.84
20171102,13,10,484.8
20171102,13,15,476.16
20171102,13,20,428.16
20171102,13,25,316.8
20171102,13,30,400.32
20171102,13,35,471.36
20171102,13,40,484.8
20171102,13,45,466.56
20171102,13,50,479.04
20171102,13,55,478.08
20171102,14,0,476.16
20171102,14,5,428.16
20171102,14,10,339.84
20171102,14,15,423.36
20171102,14,20,458.88
20171102,14,25,479.04
20171102,14,30,480.96
20171102,14,35,482.88
20171102,14,40,443.52
20171102,14,45,336
20171102,14,50,444.48
20171102,14,55,449.28
20171102,15,0,417.6
20171102,15,5,474.24
20171102,15,10,482.88
20171102,15,15,478.08
20171102,15,20,481.92
20171102,15,25,432
20171102,15,30,336
20171102,15,35,429.12
20171102,15,40,472.32
20171102,15,45,488.64
20171102,15,50,482.88
20171102,15,55,480.96
20171102,16,0,438.72
20171102,16,5,312.96
20171102,16,10,409.92
20171102,16,15,441.6
20171102,16,20,480
20171102,16,25,489.6
20171102,16,30,480
20171102,16,35,480.96
20171102,16,40,444.48
20171102,16,45,348.48
20171102,16,50,373.44
20171102,16,55,429.12
20171102,17,0,458.88
20171102,17,5,480.96
20171102,17,10,482.88
20171102,17,15,482.88
20171102,17,20,399.36
20171102,17,25,315.84
20171102,17,30,413.76
20171102,17,35,464.64
20171102,17,40,484.8
20171102,17,45,469.44
20171102,17,50,471.36
20171102,17,55,491.52
20171102,18,0,395.52
20171102,18,5,336
20171102,18,10,413.76
20171102,18,15,421.44
20171102,18,20,454.08
20171102,18,25,486.72
20171102,18,30,484.8
20171102,18,35,482.88
20171102,18,40,434.88
20171102,18,45,322.56
20171102,18,50,398.4
20171102,18,55,433.92
20171102,19,0,470.4
20171102,19,5,480.96
20171102,19,10,479.04
20171102,19,15,479.04
20171102,19,20,480
20171102,19,25,369.6
20171102,19,30,398.4
20171102,19,35,456
20171102,19,40,481.92
20171102,19,45,476.16
20171102,19,50,484.8
20171102,19,55,481.92
