 date,comment,energy_consumption_rate_per_day,higher_stabilized_range,lower_stabilized_range,max_energy_consumption,min_energy_consumption,not_in_operation_from,not_in_operation_to,number_of_times_the_peaks_crossed_the_lower_thresold_value,number_of_times_the_peaks_crossed_the_upper_thresold_value,start_time,stop_time
12/25/2017,--,330.1333333,479.5733333,305.92,519.36,33.6,0:00:00,8:50:00,100,95,9:00:00,23:55:00
12/26/2017,--,459.1766667,511.48,348.28,528,325.44,all day running,all day running,0,162,0:00:00,23:55:00
12/27/2017,--,449.5633333,510.8,345,528,324.48,all day running,all day running,0,143,0:00:00,23:55:00
12/28/2017,--,454.83,509.84,340.8,519.36,324.48,all day running,all day running,0,155,0:00:00,23:55:00
12/29/2017,--,447.57,511.4,333.68,528,217.92,all day running,all day running,8,145,0:00:00,23:55:00
12/30/2017,--,440.4733333,505.24,334.4,520.32,189.12,all day running,all day running,6,138,0:00:00,23:55:00
12/31/2017,--,130.8233333,480.48,313.44,506.88,12.48,6:00:00,23:55:00,222,20,0:00:00,5:25:00
1/1/2018,energy consumpttion is low,56.36333333,204.16,59.52,243.84,11.52,0:00:00,23:55:00,288,0,not in operation,not in operation
1/2/2018,--,319.66,462.4673684,297.2968421,515.52,45.12,0:00:00,7:40:00,100,77,8:00:00,23:55:00
1/3/2018,--,393.15,455.952,292.896,520.32,164.16,5:15:00,5:55:00,30,85,0:00:00,23:55:00
1/4/2018,--,429.3133333,509.4,337.36,522.24,270.72,all day running,all day running,3,113,0:00:00,23:55:00
1/5/2018,--,445.34,506.04,333.04,517.44,218.88,all day running,all day running,7,136,0:00:00,23:55:00
1/6/2018,--,440.26,498.72,319.64,517.44,165.12,6:00:00,6:55:00,16,134,0:00:00,23:55:00
1/7/2018,--,446.4233333,502.92,339.12,515.52,318.72,all day running,all day running,0,134,0:00:00,23:55:00
1/8/2018,--,164.4166667,377.64,210.72,507.84,44.16,6:00:00,23:55:00,221,33,0:00:00,5:30:00
1/9/2018,--,327.9466667,481.3333333,310.6133333,519.36,40.32,0:00:00,7:35:00,95,89,8:00:00,23:55:00
1/10/2018,--,445.42,507.52,346,519.36,321.6,all day running,all day running,0,138,0:00:00,23:55:00
1/11/2018,--,410.9733333,502.7895652,316.5495652,521.28,41.28,9:10:00,10:55:00,26,124,0:00:00,23:55:00
1/12/2018,--,400.02,509.8057143,338.7428571,524.16,52.8,9:00:00,11:55:00,37,127,0:00:00,23:55:00
1/13/2018,--,422.9433333,493.96,325.44,520.32,175.68,5:00:00,5:50:00,17,115,0:00:00,23:55:00
1/14/2018,--,455.0766667,507.08,343,514.56,324.48,all day running,all day running,0,154,0:00:00,23:55:00
1/15/2018,--,166.46,421.56,260.16,503.04,54.72,5:20:00,23:55:00,224,28,0:00:00,4:55:00
1/16/2018,--,331.99,465.6,294.72,517.44,40.32,0:00:00,7:35:00,98,110,8:00:00,23:55:00
1/17/2018,--,449.2033333,501.68,331.72,518.4,191.04,all day running,all day running,3,156,0:00:00,23:55:00
1/18/2018,--,445.0033333,504.7095652,325.106087,516.48,0,all day running,all day running,3,139,0:00:00,23:55:00
1/19/2018,--,452.8533333,502.96,332,520.32,192.96,all day running,all day running,8,162,0:00:00,23:55:00
1/20/2018,--,441.02,504.96,338.1704348,517.44,257.28,all day running,all day running,1,139,0:00:00,23:55:00
1/21/2018,--,147.9433333,457.7828571,285.3942857,511.68,33.6,6:00:00,23:55:00,222,23,0:00:00,5:25:00
1/22/2018,cant be determined,62.90333333,,,89.28,31.68,0:00:00,23:55:00,288,0,not in operation,not in operation
1/23/2018,--,337.57,487.7866667,304.6933333,523.2,58.56,0:00:00,7:35:00,99,94,8:00:00,23:55:00
1/24/2018,--,415.2966667,510.1963636,320.3781818,528.96,51.84,9:00:00,10:55:00,32,143,0:00:00,23:55:00
1/25/2018,--,463.5966667,510.52,343.12,524.16,323.52,all day running,all day running,0,170,0:00:00,23:55:00
1/26/2018,--,453.06,508.52,343.52,527.04,322.56,all day running,all day running,0,154,0:00:00,23:55:00
1/27/2018,--,459.21,504.92,342.4,512.64,312,all day running,all day running,1,169,0:00:00,23:45:00
1/28/2018,--,452.1166667,502.4,338,522.24,182.4,all day running,all day running,4,159,0:00:00,23:55:00
1/29/2018,--,166.0833333,445.44,275.3828571,507.84,44.16,6:00:00,23:55:00,220,20,0:00:00,5:35:00
1/30/2018,--,319.14,493.0447059,321.9952941,525.12,43.2,0:00:00,8:55:00,102,83,9:05:00,23:55:00
1/31/2018,--,461.0133333,513.4,346.52,526.08,328.32,all day running,all day running,0,168,0:00:00,23:55:00
2/1/2018,--,463.3033333,513.04,347.28,525.12,321.6,all day running,all day running,0,176,0:00:00,23:55:00
2/2/2018,--,457.5466667,507.64,341.4,523.2,180.48,all day running,all day running,6,168,0:00:00,23:55:00
2/3/2018,--,465.2733333,513.8,347.52,525.12,327.36,all day running,all day running,0,182,0:00:00,23:55:00
2/4/2018,--,161.53,433.56,243.6,519.36,49.92,5:20:00,23:55:00,224,22,0:00:00,4:55:00
2/5/2018,--,317.0433333,474.2933333,299.36,524.16,40.32,0:00:00,8:55:00,106,82,9:15:00,23:55:00
2/6/2018,--,455.32,512.76,344.68,526.08,317.76,all day running,all day running,0,157,0:00:00,23:55:00
2/7/2018,--,430.4866667,499.64,326.44,523.2,192.96,8:20:00,9:55:00,21,129,0:00:00,23:55:00
2/8/2018,--,458.8768,508.48,346.24,523.2,327.36,all day running,all day running,0,102,0:00:00,14:45:00
